Date,Value,Value_Classification,BTC_Closing,BTC_Volume
2/1/2018,30,Fear,9170.540039,9959400448
2/2/2018,15,Extreme Fear,8830.75,12726899712
2/3/2018,40,Fear,9174.910156,7263790080
2/4/2018,24,Extreme Fear,8277.009766,7073549824
2/5/2018,11,Extreme Fear,6955.27002,9285289984
2/6/2018,8,Extreme Fear,7754,13999800320
2/7/2018,36,Fear,7621.299805,9169280000
2/8/2018,30,Fear,8265.589844,9346750464
2/9/2018,44,Fear,8736.980469,6784820224
2/10/2018,54,Neutral,8621.900391,7780960256
2/11/2018,31,Fear,8129.970215,6122189824
2/12/2018,42,Fear,8926.570313,6256439808
2/13/2018,35,Fear,8598.30957,5696719872
2/14/2018,55,Greed,9494.629883,7909819904
2/15/2018,71,Greed,10166.40039,9062540288
2/16/2018,67,Greed,10233.90039,7296159744
2/17/2018,74,Greed,11112.7002,8660880384
2/18/2018,63,Greed,10551.7998,8744009728
2/19/2018,67,Greed,11225.2998,7652089856
2/20/2018,74,Greed,11403.7002,9926540288
2/21/2018,54,Neutral,10690.40039,9405339648
2/22/2018,44,Fear,10005,8040079872
2/23/2018,39,Fear,10301.09961,7739500032
2/24/2018,31,Fear,9813.070313,6917929984
2/25/2018,33,Fear,9664.730469,5706939904
2/26/2018,37,Fear,10366.7002,7287690240
2/27/2018,44,Fear,10725.59961,6966179840
2/28/2018,41,Fear,10397.90039,6936189952
3/1/2018,38,Fear,10951,7317279744
3/2/2018,47,Neutral,11086.40039,7620590080
3/3/2018,56,Greed,11489.7002,6690570240
3/4/2018,44,Fear,11512.59961,6084149760
3/5/2018,55,Greed,11573.2998,6468539904
3/6/2018,59,Greed,10779.90039,6832169984
3/7/2018,37,Fear,9965.570313,8797910016
3/8/2018,39,Fear,9395.009766,7186089984
3/9/2018,37,Fear,9337.549805,8704190464
3/10/2018,39,Fear,8866,5386319872
3/11/2018,40,Fear,9578.629883,6296370176
3/12/2018,41,Fear,9205.120117,6457399808
3/13/2018,41,Fear,9194.849609,5991139840
3/14/2018,40,Fear,8269.80957,6438230016
3/15/2018,32,Fear,8300.860352,6834429952
3/16/2018,33,Fear,8338.349609,5289379840
3/17/2018,31,Fear,7916.879883,4426149888
3/18/2018,29,Fear,8223.679688,6639190016
3/19/2018,29,Fear,8630.650391,6729110016
3/20/2018,37,Fear,8913.469727,6361789952
3/21/2018,36,Fear,8929.280273,6043129856
3/22/2018,36,Fear,8728.469727,5530390016
3/23/2018,28,Fear,8879.620117,5954120192
3/24/2018,32,Fear,8668.120117,5664600064
3/25/2018,30,Fear,8495.780273,4569880064
3/26/2018,31,Fear,8209.400391,5921039872
3/27/2018,24,Extreme Fear,7833.040039,5378250240
3/28/2018,24,Extreme Fear,7954.47998,4935289856
3/29/2018,18,Extreme Fear,7165.700195,6361229824
3/30/2018,12,Extreme Fear,6890.52002,6289509888
3/31/2018,16,Extreme Fear,6973.529785,4553269760
4/1/2018,16,Extreme Fear,6844.22998,4532100096
4/2/2018,11,Extreme Fear,7083.799805,4333440000
